"Metric","Annual_Total","Growth_vs_2023"
"Point Forecast",33922.6973475795,4.43586656860426
"Conservative (80% Lower)",22528.9933531417,-30.6412777366727
"Optimistic (80% Upper)",45316.4013420174,39.5130108738812
"95% Lower Bound",16497.5307916645,-49.2099962801853
"95% Upper Bound",51347.8639034945,58.0817294173938
