"Date","Actual","Forecast","Error","Lower_80","Upper_80","Lower_95","Upper_95"
"2022",908.256,921.942968352407,-13.6869683524075,537.31754121261,1306.56839549221,333.709139140872,1510.17679756394
"2022.08333333333",1313.727,951.090842816895,362.636157183106,309.617981424653,1592.56370420914,-29.9572392041892,1932.13892483798
"2022.16666666667",1659.754,537.125227123535,1122.62877287647,-244.10149241606,1318.35194666313,-657.657936679397,1731.90839092647
"2022.25",2494.497,306.400357914423,2188.09664208558,-565.559900273494,1178.36061610234,-1027.14777853712,1639.94849436597
"2022.33333333333",2719.398,645.854774266912,2073.54322573309,-288.745257545351,1580.45480607917,-783.492628951779,2075.2021774856
"2022.41666666667",2915.997,1082.93469418189,1833.06230581811,103.726228559333,2062.14315980445,-414.635421275275,2580.50480963906
"2022.5",3431.938,1599.47765570206,1832.46034429794,587.916729694449,2611.03858170966,52.4287218572663,3146.52658954685
"2022.58333333333",3959.906,2645.13890045342,1314.76709954658,1609.83949622939,3680.43830467745,1061.78509710289,4228.49270380396
"2022.66666666667",3159.631,1928.18058507997,1231.45041492003,875.326558450623,2981.03461170931,317.979303561832,3538.3818665981
"2022.75",2783.362,1710.40767877737,1072.95432122263,644.501417018383,2776.31394053636,80.2447262195074,3340.57063133523
"2022.83333333333",1824.405,1016.00479673424,808.400203265759,-59.6435156438101,2091.65310911229,-629.057336521683,2661.06692999017
"2022.91666666667",1690,851.829942984173,838.170057015827,-231.109964422161,1934.76985039051,-804.38372254678,2508.04360851513
"2023",1518.775,643.043530404805,875.731469595195,-483.471056150878,1769.55811696049,-1079.81185604225,2365.89891685186
"2023.08333333333",1733.37,609.39070280561,1123.97929719439,-574.272221239834,1793.05362685105,-1200.86552358242,2419.64692919364
"2023.16666666667",2166.325,429.603263916373,1736.72173608363,-795.410399187452,1654.6169270202,-1443.89346052692,2303.09998835966
"2023.25",2939.092,397.59685539397,2541.49514460603,-857.711497780735,1652.90520856868,-1522.23159931918,2317.42531010712
"2023.33333333333",3046.723,845.579761194021,2201.14323880598,-432.108218563315,2123.26774095136,-1108.47537878776,2799.6349011758
"2023.41666666667",3089.901,1288.4907129573,1801.4102870427,-5.82483172396792,2582.80625763857,-690.994093124304,3267.97551903891
"2023.5",3563.202,1742.86759752961,1820.33440247039,436.147909077783,3049.58728598144,-255.587709390966,3741.32290445019
"2023.58333333333",4103.229,2802.99079805529,1300.23820194472,1486.9905551244,4118.99104098617,790.342107876042,4815.63948823453
"2023.66666666667",3433.486,2091.44930611759,1342.03669388241,768.490716855328,3414.40789537985,68.1587435641702,4114.73986867101
"2023.75",3031.537,1976.87251415944,1054.66448584056,648.688538765819,3305.05648955306,-54.4095868526172,4008.15461517149
"2023.83333333333",1980.846,1261.61338891353,719.232611086469,-70.499154160171,2593.72593198723,-775.676937885771,3298.90371571283
"2023.91666666667",1875.36,1004.91401020615,870.445989793853,-330.154669989735,2339.98269040203,-1036.89733818028,3046.72535859257
