"model","p","d","q","P","D","Q","aic","bic","aicc","n_params","ljung_box_pvalue","loglik"
"SARIMA(1,0,1)(1,1,0)[12]",1,0,1,1,1,0,693.975289486998,701.46009353063,694.905522045138,3,0.806069801170874,-342.987644743499
"SARIMA(2,0,0)(1,1,0)[12]",2,0,0,1,1,0,694.224812704197,701.709616747828,695.155045262336,3,0.482126085399579,-343.112406352098
